Story,Label,UniqueName,Section,Location,Shear Design Combo,Shear Force,Torsion for Av/s,VRebar (Av/s),TTrnCombo,Torsion for TTrnRebar,TTrnRebar (At/s),TLngCombo,Torsion for TLngRebar,TLngRebar (Al),Status
Story4,B21,85,ConcBm,End-J,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B22,86,ConcBm,End-I,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B22,86,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B22,86,ConcBm,End-J,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B23,87,ConcBm,End-I,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B23,87,ConcBm,Middle,DConS1,3.007,0,0,DConS1,0,0,DConS1,0,0,
Story4,B23,87,ConcBm,End-J,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B24,88,ConcBm,End-I,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B24,88,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B24,88,ConcBm,End-J,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
